sample	role	reason	fastq_1	fastq_2
SRR38519254_Carex_borbonica	simple_reference	Lowest organelle-removal fraction among the local test samples: 5.63%; 9437 of 10000 read pairs retained	data/subsample/local_test_subsample/fastq/SRR38519254_Carex_borbonica_R1.fastq.gz	data/subsample/local_test_subsample/fastq/SRR38519254_Carex_borbonica_R2.fastq.gz
SRR38519255_Carex_boryana	stress_reference	Highest organelle-removal fraction among the local test samples: 10.32%; 1032 of 10000 read pairs removed	data/subsample/local_test_subsample/fastq/SRR38519255_Carex_boryana_R1.fastq.gz	data/subsample/local_test_subsample/fastq/SRR38519255_Carex_boryana_R2.fastq.gz
SRR38519244_Carex_boryana	additional_reference	Additional local reference; 7.63% of read pairs removed during organelle filtering	data/subsample/local_test_subsample/fastq/SRR38519244_Carex_boryana_R1.fastq.gz	data/subsample/local_test_subsample/fastq/SRR38519244_Carex_boryana_R2.fastq.gz
SRR38519253_Carex_borbonica	additional_reference	Additional local reference; 8.62% of read pairs removed during organelle filtering	data/subsample/local_test_subsample/fastq/SRR38519253_Carex_borbonica_R1.fastq.gz	data/subsample/local_test_subsample/fastq/SRR38519253_Carex_borbonica_R2.fastq.gz
